,time,open_price,high_price,low_price,close_price,volume
0,2023-03-16 17:00:00,25051.75,27812.97,24945.0,27450.84,1421.80938717
1,2023-03-15 17:00:00,24386.43,25223.3,24224.24,25051.75,448.77754275
2,2023-03-14 17:00:00,24767.85,25284.77,23944.83,24386.43,646.9300365
3,2023-03-13 17:00:00,24236.61,26523.58,24047.19,24767.85,1186.533404
4,2023-03-12 17:00:00,22413.76,24689.7,22127.0,24236.61,1285.91371805
5,2023-03-11 16:00:00,21051.13,22999.99,20745.33,22413.76,1235.13970878
6,2023-03-10 16:00:00,20215.95,22138.99,20200.6,21051.13,1856.0653611
7,2023-03-09 16:00:00,20289.98,20300.0,19550.0,20215.95,818.99420246
8,2023-03-08 16:00:00,21704.4,21900.0,19300.0,20289.98,1644.08557592
9,2023-03-07 16:00:00,22211.93,22307.23,21583.39,21704.4,397.79410218
10,2023-03-06 16:00:00,22441.68,22549.84,21942.0,22211.93,440.8633001
11,2023-03-05 16:00:00,22428.34,22602.18,22270.25,22441.68,235.65236015
12,2023-03-04 16:00:00,22350.02,22643.36,22204.08,22428.34,72.64644579
13,2023-03-03 16:00:00,22502.71,23451.12,22166.71,22350.02,189.20877056
14,2023-03-02 16:00:00,23468.44,23481.2,22000.0,22502.71,908.20267741
15,2023-03-01 16:00:00,23652.59,23793.0,23202.72,23468.44,386.71251878
16,2023-02-28 16:00:00,23129.61,23984.44,23030.0,23652.59,337.66522722
17,2023-02-27 16:00:00,23494.73,23599.91,23031.92,23129.61,217.92765938
18,2023-02-26 16:00:00,23552.6,23885.27,23131.79,23494.73,425.46705426
19,2023-02-25 16:00:00,23170.88,23672.4,23069.14,23552.6,118.09264931
20,2023-02-24 16:00:00,23192.31,23215.96,22763.07,23170.88,133.80869336
21,2023-02-23 16:00:00,23948.04,24129.26,22853.7,23192.31,544.58657314
22,2023-02-22 16:00:00,24187.13,24600.0,23626.93,23948.04,350.60970533
23,2023-02-21 16:00:00,24450.5,24478.31,23585.31,24187.13,400.01895287
24,2023-02-20 16:00:00,24837.6,25250.0,24165.65,24450.5,612.68181797
25,2023-02-19 16:00:00,24289.53,25108.87,23857.95,24837.6,290.410564
26,2023-02-18 16:00:00,24633.13,25191.45,24211.0,24289.53,181.33495616
27,2023-02-17 16:00:00,24583.56,24862.26,24447.4,24633.13,90.85929172
28,2023-02-16 16:00:00,23520.73,25022.41,23362.63,24583.56,502.78212165
29,2023-02-15 16:00:00,24327.71,25248.87,23515.96,23520.73,907.09271257
30,2023-02-14 16:00:00,22213.76,24372.86,22059.99,24327.71,730.37852262
31,2023-02-13 16:00:00,21788.17,22322.35,21554.84,22213.76,343.04603628
32,2023-02-12 16:00:00,21784.4,21897.79,21379.61,21788.17,398.66300025
33,2023-02-11 16:00:00,21859.91,22077.22,21641.41,21784.4,118.51474121
34,2023-02-10 16:00:00,21632.82,21906.38,21615.75,21859.91,166.7123247
35,2023-02-09 16:00:00,21796.38,21929.99,21456.05,21632.82,554.60735366
36,2023-02-08 16:00:00,22975.33,23100.19,21686.0,21796.38,525.55483961
37,2023-02-07 16:00:00,23253.86,23442.0,22688.24,22975.33,249.03259979
38,2023-02-06 16:00:00,22763.32,23343.32,22749.55,23253.86,240.16915739
39,2023-02-05 16:00:00,22942.21,23158.26,22644.04,22763.32,376.69626578
40,2023-02-04 16:00:00,23344.6,23425.0,22763.36,22942.21,138.76698788
41,2023-02-03 16:00:00,23443.73,23575.81,23265.61,23344.6,138.50579608
42,2023-02-02 16:00:00,23486.51,23716.32,23218.51,23443.73,337.45675305
43,2023-02-01 16:00:00,23715.81,24254.29,23378.84,23486.51,511.64962701
44,2023-01-31 16:00:00,23138.09,23800.0,22801.85,23715.81,462.53413689
45,2023-01-30 16:00:00,22829.24,23303.72,22738.61,23138.09,371.24316228
46,2023-01-29 16:00:00,23761.08,23809.8,22498.99,22829.24,498.13991668
47,2023-01-28 16:00:00,23031.37,23953.42,22989.34,23761.08,335.61908423
48,2023-01-27 16:00:00,23075.34,23185.18,22888.45,23031.37,132.82086638
49,2023-01-26 16:00:00,23013.37,23495.58,22554.27,23075.34,442.03440767
50,2023-01-25 16:00:00,23054.33,23283.49,22866.73,23013.37,509.19151441
51,2023-01-24 16:00:00,22645.03,23817.34,22333.44,23054.33,561.02502611
52,2023-01-23 16:00:00,22916.75,23160.7,22476.89,22645.03,473.85795177
53,2023-01-22 16:00:00,22721.82,23171.47,22514.35,22916.75,445.45538694
54,2023-01-21 16:00:00,22790.41,23068.38,22311.47,22721.82,208.93791936
55,2023-01-20 16:00:00,22686.63,23354.72,22454.78,22790.41,502.87687347
56,2023-01-19 16:00:00,21087.22,22759.31,20870.0,22686.63,644.70246736
57,2023-01-18 16:00:00,20680.0,21188.14,20627.1,21087.22,497.99426156
58,2023-01-17 16:00:00,21141.43,21647.71,20413.93,20680.0,671.19749984
59,2023-01-16 16:00:00,21191.65,21595.31,20860.02,21141.43,497.83449605
60,2023-01-15 16:00:00,20895.0,21455.1,20642.35,21191.65,587.70632258
61,2023-01-14 16:00:00,20961.71,21053.04,20565.81,20895.0,383.2044192
62,2023-01-13 16:00:00,19934.04,21500.0,19903.19,20961.71,871.11661726
63,2023-01-12 16:00:00,18855.23,19997.79,18725.49,19934.04,941.78050059
64,2023-01-11 16:00:00,17949.47,19108.8,17900.0,18855.23,1193.45464522
65,2023-01-10 16:00:00,17442.95,17994.78,17302.14,17949.47,372.09028448
66,2023-01-09 16:00:00,17180.0,17493.45,17156.45,17442.95,324.81857675
67,2023-01-08 16:00:00,17127.57,17407.7,17111.19,17180.0,622.89133894
68,2023-01-07 16:00:00,16946.56,17164.05,16916.77,17127.57,224.22807971
69,2023-01-06 16:00:00,16952.92,16982.71,16881.18,16946.56,211.53570022
70,2023-01-05 16:00:00,16826.69,17041.86,16672.75,16952.92,405.64507287
71,2023-01-04 16:00:00,16854.3,16879.4,16745.82,16826.69,425.29875098
72,2023-01-03 16:00:00,16674.15,16975.08,16652.23,16854.3,629.77956663
73,2023-01-02 16:00:00,16666.61,16765.83,16590.9,16674.15,440.39688852
74,2023-01-01 16:00:00,16612.45,16775.0,16553.53,16666.61,292.35109285
75,2022-12-31 16:00:00,16529.0,16625.55,16489.46,16612.45,405.57697597
76,2022-12-30 16:00:00,16585.89,16624.93,16470.72,16529.0,1471.3249768
77,2022-12-29 16:00:00,16634.93,16651.0,16343.33,16585.89,672.48489523
78,2022-12-28 16:00:00,16533.41,16650.08,16488.6,16634.93,635.62862186
79,2022-12-27 16:00:00,16693.68,16740.0,16461.84,16533.41,865.49268257
80,2022-12-26 16:00:00,16908.98,16966.0,16599.1,16693.68,591.96572979
81,2022-12-25 16:00:00,16833.7,16929.58,16797.1,16908.98,234.99149041
82,2022-12-24 16:00:00,16849.79,16857.41,16680.0,16833.7,129.32658391
83,2022-12-23 16:00:00,16780.59,16874.5,16779.04,16849.79,152.52770167
84,2022-12-22 16:00:00,16823.03,16935.48,16750.99,16780.59,412.63138182
85,2022-12-21 16:00:00,16821.03,16874.33,16558.44,16823.03,872.07550676
86,2022-12-20 16:00:00,16908.52,16924.8,16750.0,16821.03,330.90720169
87,2022-12-19 16:00:00,16436.21,17000.0,16397.49,16908.52,372.03579689
88,2022-12-18 16:00:00,16746.46,16816.13,16256.06,16436.21,513.6310822
89,2022-12-17 16:00:00,16800.01,16855.52,16680.68,16746.46,232.76939832
90,2022-12-16 16:00:00,16637.01,16804.15,16593.01,16800.01,299.60549487
91,2022-12-15 16:00:00,17360.02,17470.0,16543.01,16637.01,696.95855701
92,2022-12-14 16:00:00,17803.55,18200.0,17287.1,17360.02,576.33592303
93,2022-12-13 16:00:00,17775.73,18360.51,17671.28,17803.55,949.62033105
94,2022-12-12 16:00:00,17215.47,17988.0,17096.9,17775.73,951.80447046
95,2022-12-11 16:00:00,17097.65,17237.47,16857.3,17215.47,512.08066648
96,2022-12-10 16:00:00,17140.18,17265.93,17084.42,17097.65,181.40501285
97,2022-12-09 16:00:00,17133.65,17242.39,17112.32,17140.18,414.93991034
98,2022-12-08 16:00:00,17233.43,17343.38,17069.33,17133.65,513.98599552
99,2022-12-07 16:00:00,16841.44,17292.45,16741.8,17233.43,620.96908936
100,2022-12-06 16:00:00,17091.48,17138.48,16689.06,16841.44,818.81040958
101,2022-12-05 16:00:00,16965.97,17129.64,16900.0,17091.48,578.11574367
102,2022-12-04 16:00:00,17113.31,17439.57,16874.14,16965.97,765.46869934
103,2022-12-03 16:00:00,16906.6,17210.13,16896.25,17113.31,330.48718172
104,2022-12-02 16:00:00,17097.82,17146.63,16882.13,16906.6,332.75625228
105,2022-12-01 16:00:00,16983.99,17101.01,16815.0,17097.82,421.45675066
106,2022-11-30 16:00:00,17167.03,17300.0,16900.0,16983.99,805.7539636
107,2022-11-29 16:00:00,16435.01,17246.82,16434.0,17167.03,874.71109259
108,2022-11-28 16:00:00,16212.39,16572.45,16098.34,16435.01,444.93812914
109,2022-11-27 16:00:00,16431.66,16482.08,16005.0,16212.39,549.73222308
110,2022-11-26 16:00:00,16454.1,16600.93,16405.0,16431.66,401.20423631
111,2022-11-25 16:00:00,16500.31,16684.08,16428.01,16454.1,392.68734455
112,2022-11-24 16:00:00,16577.33,16601.15,16341.9,16500.31,442.13792401
113,2022-11-23 16:00:00,16600.38,16796.59,16450.0,16577.33,457.29348164
114,2022-11-22 16:00:00,16192.05,16666.66,16143.69,16600.38,854.73786202
115,2022-11-21 16:00:00,15757.05,16284.89,15602.7,16192.05,779.42065307
116,2022-11-20 16:00:00,16247.48,16264.95,15485.62,15757.05,1771.39068937
117,2022-11-19 16:00:00,16685.2,16738.47,16161.36,16247.48,509.32167255
118,2022-11-18 16:00:00,16677.78,16800.0,16535.87,16685.2,354.14382886
119,2022-11-17 16:00:00,16660.05,16975.0,16513.8,16677.78,764.99788438
120,2022-11-16 16:00:00,16628.38,16781.31,16397.34,16660.05,1438.78897225
121,2022-11-15 16:00:00,16865.94,16984.51,16277.0,16628.38,2302.81126913
122,2022-11-14 16:00:00,16596.02,17100.0,16520.0,16865.94,4234.80647042
123,2022-11-13 16:00:00,16314.8,17146.63,15790.26,16596.02,1377.83581736
124,2022-11-12 16:00:00,16761.31,16915.34,16236.58,16314.8,516.23371993
125,2022-11-11 16:00:00,16939.88,17000.0,16508.6,16761.31,1090.64715658
126,2022-11-10 16:00:00,17566.09,17657.63,16341.5,16939.88,2407.75365213
127,2022-11-09 16:00:00,15880.18,18172.04,15724.19,17566.09,3102.16514439
128,2022-11-08 16:00:00,18545.44,18588.06,15555.0,15880.18,6179.46755571
129,2022-11-07 16:00:00,20500.71,20678.35,17025.41,18545.44,5914.74199625
130,2022-11-06 16:00:00,20932.0,21063.65,20397.95,20500.71,852.50236597
131,2022-11-05 17:00:00,21302.16,21358.99,20893.84,20932.0,302.8822916
132,2022-11-04 17:00:00,21156.18,21473.65,21084.33,21302.16,406.72868631
133,2022-11-03 17:00:00,20200.69,21293.24,20179.01,21156.18,1088.7269628
134,2022-11-02 17:00:00,20153.13,20387.79,20043.25,20200.69,574.26061711
135,2022-11-01 17:00:00,20476.36,20799.2,20059.66,20153.13,1155.63546375
136,2022-10-31 17:00:00,20495.6,20680.24,20334.64,20476.36,505.39419842
137,2022-10-30 17:00:00,20630.8,20833.79,20245.21,20495.6,763.57835804
138,2022-10-29 17:00:00,20822.1,20930.44,20518.9,20630.8,328.08463675
139,2022-10-28 17:00:00,20595.63,21078.31,20563.59,20822.1,447.47830721
140,2022-10-27 17:00:00,20291.12,20750.0,20001.0,20595.63,1184.86355389
141,2022-10-26 17:00:00,20772.67,20879.05,20211.91,20291.12,1301.88984144
142,2022-10-25 17:00:00,20089.09,21018.1,20058.64,20772.67,1416.23757737
143,2022-10-24 17:00:00,19334.22,20412.0,19246.46,20089.09,1508.92612819
144,2022-10-23 17:00:00,19573.16,19595.27,19167.36,19334.22,954.485133
145,2022-10-22 17:00:00,19204.5,19689.92,19080.65,19573.16,433.1692482
146,2022-10-21 17:00:00,19164.81,19250.0,19120.0,19204.5,361.31187882
147,2022-10-20 17:00:00,19046.3,19250.0,18666.0,19164.81,1002.10443651
148,2022-10-19 17:00:00,19128.09,19347.71,18912.19,19046.3,763.92409534
149,2022-10-18 17:00:00,19333.87,19359.55,19070.65,19128.09,712.83934807
150,2022-10-17 17:00:00,19553.51,19700.0,19100.0,19333.87,1096.37340412
